"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2000-01-01","2000-12-31",2000,138,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2001-01-01","2001-12-31",2001,11432,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2002-01-01","2002-12-31",2002,3011,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2003-01-01","2003-12-31",2003,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2004-01-01","2004-12-31",2004,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2005-01-01","2005-12-31",2005,75,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2007-01-01","2007-12-31",2007,28,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2009-01-01","2009-12-31",2009,70,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2010-01-01","2010-12-31",2010,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2011-01-01","2011-12-31",2011,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2012-01-01","2012-12-31",2012,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2013-01-01","2013-12-31",2013,0,"Total","Admin0","Year","WHOPAHO-ALL-2013-Y02-00"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2015-12-27","2016-01-02",2015,50,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-52"
"CUBA",NA,NA,"CUBA","CUB",63,"CUB",NA,"2016-07-03","2016-07-09",2016,0,"Total","Admin0","Week","WHOPAHO-ALL-20142022-W01-27 (Zero filling)"
