,Country Name,Indicator Name,Year,Death Rate
0,Aruba,"Death rate, crude (per 1,000 people)",1960-01-01,6.594
1,Africa Eastern and Southern,"Death rate, crude (per 1,000 people)",1960-01-01,20.91810755
2,Afghanistan,"Death rate, crude (per 1,000 people)",1960-01-01,31.921
3,Africa Western and Central,"Death rate, crude (per 1,000 people)",1960-01-01,26.36306669
4,Angola,"Death rate, crude (per 1,000 people)",1960-01-01,26.659
5,Albania,"Death rate, crude (per 1,000 people)",1960-01-01,16.681
6,Andorra,"Death rate, crude (per 1,000 people)",1960-01-01,
7,Arab World,"Death rate, crude (per 1,000 people)",1960-01-01,21.18325823
8,United Arab Emirates,"Death rate, crude (per 1,000 people)",1960-01-01,15.546
9,Argentina,"Death rate, crude (per 1,000 people)",1960-01-01,8.844
10,Armenia,"Death rate, crude (per 1,000 people)",1960-01-01,12.201
11,American Samoa,"Death rate, crude (per 1,000 people)",1960-01-01,
12,Antigua and Barbuda,"Death rate, crude (per 1,000 people)",1960-01-01,9.553
13,Australia,"Death rate, crude (per 1,000 people)",1960-01-01,8.6
14,Austria,"Death rate, crude (per 1,000 people)",1960-01-01,12.7
15,Azerbaijan,"Death rate, crude (per 1,000 people)",1960-01-01,14.929
16,Burundi,"Death rate, crude (per 1,000 people)",1960-01-01,21.657
17,Belgium,"Death rate, crude (per 1,000 people)",1960-01-01,12.4
18,Benin,"Death rate, crude (per 1,000 people)",1960-01-01,28.468
19,Burkina Faso,"Death rate, crude (per 1,000 people)",1960-01-01,27.102
20,Bangladesh,"Death rate, crude (per 1,000 people)",1960-01-01,21.222
21,Bulgaria,"Death rate, crude (per 1,000 people)",1960-01-01,8.1
22,Bahrain,"Death rate, crude (per 1,000 people)",1960-01-01,16.084
23,"Bahamas, The","Death rate, crude (per 1,000 people)",1960-01-01,8.353
24,Bosnia and Herzegovina,"Death rate, crude (per 1,000 people)",1960-01-01,9.535
25,Belarus,"Death rate, crude (per 1,000 people)",1960-01-01,7.751
26,Belize,"Death rate, crude (per 1,000 people)",1960-01-01,12.329
27,Bermuda,"Death rate, crude (per 1,000 people)",1960-01-01,9.9
28,Bolivia,"Death rate, crude (per 1,000 people)",1960-01-01,22.968
29,Brazil,"Death rate, crude (per 1,000 people)",1960-01-01,14.025
30,Barbados,"Death rate, crude (per 1,000 people)",1960-01-01,9.474
31,Brunei Darussalam,"Death rate, crude (per 1,000 people)",1960-01-01,11.655
32,Bhutan,"Death rate, crude (per 1,000 people)",1960-01-01,29.82
33,Botswana,"Death rate, crude (per 1,000 people)",1960-01-01,16.77
34,Central African Republic,"Death rate, crude (per 1,000 people)",1960-01-01,25.41
35,Canada,"Death rate, crude (per 1,000 people)",1960-01-01,7.8
36,Central Europe and the Baltics,"Death rate, crude (per 1,000 people)",1960-01-01,8.632179425
37,Switzerland,"Death rate, crude (per 1,000 people)",1960-01-01,9.8
38,Channel Islands,"Death rate, crude (per 1,000 people)",1960-01-01,12.35506384
39,Chile,"Death rate, crude (per 1,000 people)",1960-01-01,10.992
40,China,"Death rate, crude (per 1,000 people)",1960-01-01,25.43
41,Cote d'Ivoire,"Death rate, crude (per 1,000 people)",1960-01-01,26.907
42,Cameroon,"Death rate, crude (per 1,000 people)",1960-01-01,28.64
43,"Congo, Dem. Rep.","Death rate, crude (per 1,000 people)",1960-01-01,23.167
44,"Congo, Rep.","Death rate, crude (per 1,000 people)",1960-01-01,17.613
45,Colombia,"Death rate, crude (per 1,000 people)",1960-01-01,11.873
