Country Name,Indicator Name,Year,Death Rate
Aruba,"Death rate, crude (per 1,000 people)",1960,6.594
Africa Eastern and Southern,"Death rate, crude (per 1,000 people)",1960,20.91810755
Afghanistan,"Death rate, crude (per 1,000 people)",1960,31.921
Africa Western and Central,"Death rate, crude (per 1,000 people)",1960,26.36306669
Angola,"Death rate, crude (per 1,000 people)",1960,26.659
Albania,"Death rate, crude (per 1,000 people)",1960,16.681
Andorra,"Death rate, crude (per 1,000 people)",1960,
Arab World,"Death rate, crude (per 1,000 people)",1960,21.18325823
United Arab Emirates,"Death rate, crude (per 1,000 people)",1960,15.546
Argentina,"Death rate, crude (per 1,000 people)",1960,8.844
Armenia,"Death rate, crude (per 1,000 people)",1960,12.201
American Samoa,"Death rate, crude (per 1,000 people)",1960,
Antigua and Barbuda,"Death rate, crude (per 1,000 people)",1960,9.553
Australia,"Death rate, crude (per 1,000 people)",1960,8.6
Austria,"Death rate, crude (per 1,000 people)",1960,12.7
Azerbaijan,"Death rate, crude (per 1,000 people)",1960,14.929
Burundi,"Death rate, crude (per 1,000 people)",1960,21.657
Belgium,"Death rate, crude (per 1,000 people)",1960,12.4
Benin,"Death rate, crude (per 1,000 people)",1960,28.468
Burkina Faso,"Death rate, crude (per 1,000 people)",1960,27.102
Bangladesh,"Death rate, crude (per 1,000 people)",1960,21.222
Bulgaria,"Death rate, crude (per 1,000 people)",1960,8.1
Bahrain,"Death rate, crude (per 1,000 people)",1960,16.084
"Bahamas, The","Death rate, crude (per 1,000 people)",1960,8.353
Bosnia and Herzegovina,"Death rate, crude (per 1,000 people)",1960,9.535
Belarus,"Death rate, crude (per 1,000 people)",1960,7.751
Belize,"Death rate, crude (per 1,000 people)",1960,12.329
Bermuda,"Death rate, crude (per 1,000 people)",1960,9.9
Bolivia,"Death rate, crude (per 1,000 people)",1960,22.968
Brazil,"Death rate, crude (per 1,000 people)",1960,14.025
Barbados,"Death rate, crude (per 1,000 people)",1960,9.474
Brunei Darussalam,"Death rate, crude (per 1,000 people)",1960,11.655
Bhutan,"Death rate, crude (per 1,000 people)",1960,29.82
Botswana,"Death rate, crude (per 1,000 people)",1960,16.77
Central African Republic,"Death rate, crude (per 1,000 people)",1960,25.41
Canada,"Death rate, crude (per 1,000 people)",1960,7.8
Central Europe and the Baltics,"Death rate, crude (per 1,000 people)",1960,8.632179425
Switzerland,"Death rate, crude (per 1,000 people)",1960,9.8
Channel Islands,"Death rate, crude (per 1,000 people)",1960,12.35506384
Chile,"Death rate, crude (per 1,000 people)",1960,10.992
China,"Death rate, crude (per 1,000 people)",1960,25.43
Cote d'Ivoire,"Death rate, crude (per 1,000 people)",1960,26.907
Cameroon,"Death rate, crude (per 1,000 people)",1960,28.64
"Congo, Dem. Rep.","Death rate, crude (per 1,000 people)",1960,23.167
"Congo, Rep.","Death rate, crude (per 1,000 people)",1960,17.613
Colombia,"Death rate, crude (per 1,000 people)",1960,11.873
Comoros,"Death rate, crude (per 1,000 people)",1960,25.08
Cabo Verde,"Death rate, crude (per 1,000 people)",1960,18.469
Costa Rica,"Death rate, crude (per 1,000 people)",1960,10.232
Caribbean small states,"Death rate, crude (per 1,000 people)",1960,11.38513894
Cuba,"Death rate, crude (per 1,000 people)",1960,8.629
Curacao,"Death rate, crude (per 1,000 people)",1960,8.087
Cayman Islands,"Death rate, crude (per 1,000 people)",1960,
Cyprus,"Death rate, crude (per 1,000 people)",1960,10.025
Czechia,"Death rate, crude (per 1,000 people)",1960,9.8
Germany,"Death rate, crude (per 1,000 people)",1960,12.0
Djibouti,"Death rate, crude (per 1,000 people)",1960,20.192
Dominica,"Death rate, crude (per 1,000 people)",1960,14.029
Denmark,"Death rate, crude (per 1,000 people)",1960,9.5
Dominican Republic,"Death rate, crude (per 1,000 people)",1960,16.894
Algeria,"Death rate, crude (per 1,000 people)",1960,23.785
East Asia & Pacific (excluding high income),"Death rate, crude (per 1,000 people)",1960,22.91969953
Early-demographic dividend,"Death rate, crude (per 1,000 people)",1960,18.90297211
East Asia & Pacific,"Death rate, crude (per 1,000 people)",1960,20.88635318
Europe & Central Asia (excluding high income),"Death rate, crude (per 1,000 people)",1960,11.85125135
Europe & Central Asia,"Death rate, crude (per 1,000 people)",1960,10.06180082
Ecuador,"Death rate, crude (per 1,000 people)",1960,15.371
"Egypt, Arab Rep.","Death rate, crude (per 1,000 people)",1960,21.364
Euro area,"Death rate, crude (per 1,000 people)",1960,10.48332848
Eritrea,"Death rate, crude (per 1,000 people)",1960,25.715
Spain,"Death rate, crude (per 1,000 people)",1960,8.6
Estonia,"Death rate, crude (per 1,000 people)",1960,10.5
Ethiopia,"Death rate, crude (per 1,000 people)",1960,23.349
European Union,"Death rate, crude (per 1,000 people)",1960,10.0503751
Fragile and conflict affected situations,"Death rate, crude (per 1,000 people)",1960,20.64740519
Finland,"Death rate, crude (per 1,000 people)",1960,9.0
Fiji,"Death rate, crude (per 1,000 people)",1960,10.728
France,"Death rate, crude (per 1,000 people)",1960,11.4
Faroe Islands,"Death rate, crude (per 1,000 people)",1960,
"Micronesia, Fed. Sts.","Death rate, crude (per 1,000 people)",1960,12.386
Gabon,"Death rate, crude (per 1,000 people)",1960,20.64
United Kingdom,"Death rate, crude (per 1,000 people)",1960,11.5
Georgia,"Death rate, crude (per 1,000 people)",1960,12.684
Ghana,"Death rate, crude (per 1,000 people)",1960,18.998
Gibraltar,"Death rate, crude (per 1,000 people)",1960,8.564
Guinea,"Death rate, crude (per 1,000 people)",1960,28.389
"Gambia, The","Death rate, crude (per 1,000 people)",1960,28.943
Guinea-Bissau,"Death rate, crude (per 1,000 people)",1960,27.099
Equatorial Guinea,"Death rate, crude (per 1,000 people)",1960,23.669
Greece,"Death rate, crude (per 1,000 people)",1960,7.3
Grenada,"Death rate, crude (per 1,000 people)",1960,11.431
Greenland,"Death rate, crude (per 1,000 people)",1960,
Guatemala,"Death rate, crude (per 1,000 people)",1960,18.949
Guam,"Death rate, crude (per 1,000 people)",1960,6.443
Guyana,"Death rate, crude (per 1,000 people)",1960,10.915
High income,"Death rate, crude (per 1,000 people)",1960,9.446486221
"Hong Kong SAR, China","Death rate, crude (per 1,000 people)",1960,6.427
Honduras,"Death rate, crude (per 1,000 people)",1960,18.449
Heavily indebted poor countries (HIPC),"Death rate, crude (per 1,000 people)",1960,23.8185871
Croatia,"Death rate, crude (per 1,000 people)",1960,10.0
Haiti,"Death rate, crude (per 1,000 people)",1960,21.263
Hungary,"Death rate, crude (per 1,000 people)",1960,10.2
IBRD only,"Death rate, crude (per 1,000 people)",1960,18.98485336
IDA & IBRD total,"Death rate, crude (per 1,000 people)",1960,19.58443437
IDA total,"Death rate, crude (per 1,000 people)",1960,22.48126783
IDA blend,"Death rate, crude (per 1,000 people)",1960,22.32326016
Indonesia,"Death rate, crude (per 1,000 people)",1960,18.024
IDA only,"Death rate, crude (per 1,000 people)",1960,22.55112105
Isle of Man,"Death rate, crude (per 1,000 people)",1960,16.917
India,"Death rate, crude (per 1,000 people)",1960,19.633
Not classified,"Death rate, crude (per 1,000 people)",1960,
Ireland,"Death rate, crude (per 1,000 people)",1960,11.5
"Iran, Islamic Rep.","Death rate, crude (per 1,000 people)",1960,23.053
Iraq,"Death rate, crude (per 1,000 people)",1960,13.894
Iceland,"Death rate, crude (per 1,000 people)",1960,6.6
Israel,"Death rate, crude (per 1,000 people)",1960,5.7
Italy,"Death rate, crude (per 1,000 people)",1960,9.6
Jamaica,"Death rate, crude (per 1,000 people)",1960,8.838
Jordan,"Death rate, crude (per 1,000 people)",1960,15.744
Japan,"Death rate, crude (per 1,000 people)",1960,7.6
Kazakhstan,"Death rate, crude (per 1,000 people)",1960,12.763
Kenya,"Death rate, crude (per 1,000 people)",1960,18.647
Kyrgyz Republic,"Death rate, crude (per 1,000 people)",1960,16.28
Cambodia,"Death rate, crude (per 1,000 people)",1960,20.951
Kiribati,"Death rate, crude (per 1,000 people)",1960,19.411
St. Kitts and Nevis,"Death rate, crude (per 1,000 people)",1960,15.244
"Korea, Rep.","Death rate, crude (per 1,000 people)",1960,12.663
Kuwait,"Death rate, crude (per 1,000 people)",1960,11.561
Latin America & Caribbean (excluding high income),"Death rate, crude (per 1,000 people)",1960,13.70407624
Lao PDR,"Death rate, crude (per 1,000 people)",1960,22.677
Lebanon,"Death rate, crude (per 1,000 people)",1960,9.837
Liberia,"Death rate, crude (per 1,000 people)",1960,25.588
Libya,"Death rate, crude (per 1,000 people)",1960,25.985
St. Lucia,"Death rate, crude (per 1,000 people)",1960,14.175
Latin America & Caribbean,"Death rate, crude (per 1,000 people)",1960,13.27968954
Least developed countries: UN classification,"Death rate, crude (per 1,000 people)",1960,23.51792275
Low income,"Death rate, crude (per 1,000 people)",1960,23.66302403
Liechtenstein,"Death rate, crude (per 1,000 people)",1960,7.5
Sri Lanka,"Death rate, crude (per 1,000 people)",1960,11.09
Lower middle income,"Death rate, crude (per 1,000 people)",1960,19.75098726
Low & middle income,"Death rate, crude (per 1,000 people)",1960,20.60383077
Lesotho,"Death rate, crude (per 1,000 people)",1960,17.377
Late-demographic dividend,"Death rate, crude (per 1,000 people)",1960,19.81333797
Lithuania,"Death rate, crude (per 1,000 people)",1960,7.8
Luxembourg,"Death rate, crude (per 1,000 people)",1960,11.8
Latvia,"Death rate, crude (per 1,000 people)",1960,10.0
"Macao SAR, China","Death rate, crude (per 1,000 people)",1960,8.721
St. Martin (French part),"Death rate, crude (per 1,000 people)",1960,6.714
Morocco,"Death rate, crude (per 1,000 people)",1960,22.745
Monaco,"Death rate, crude (per 1,000 people)",1960,
Moldova,"Death rate, crude (per 1,000 people)",1960,11.003
Madagascar,"Death rate, crude (per 1,000 people)",1960,21.524
Maldives,"Death rate, crude (per 1,000 people)",1960,26.776
