region,Area,date,Daily_Rainfall,Min_Temperature (°C),Max_Temperature (°C),Mean_Temperature (°C),total_cases_in_cluster
North,Admiralty,03-01-2020,0.2,27.5,30.4,25.7,58
North,Admiralty,03-01-2020,0.2,27.5,30.4,25.7,13
North,Admiralty,03-01-2020,0.2,27.5,30.4,25.7,9
North,Admiralty,03-01-2020,0.2,27.5,30.4,25.7,3
North,Admiralty,03-01-2020,0.2,27.5,30.4,25.7,2
North,Admiralty,10-01-2020,0.4,26.9,30.3,25.1,68
North,Admiralty,10-01-2020,0.4,26.9,30.3,25.1,17
North,Admiralty,10-01-2020,0.4,26.9,30.3,25.1,11
North,Admiralty,10-01-2020,0.4,26.9,30.3,25.1,4
North,Admiralty,10-01-2020,0.4,26.9,30.3,25.1,3
North,Admiralty,10-01-2020,0.4,26.9,30.3,25.1,2
North,Admiralty,17-01-2020,0.0,27.8,32.4,24.8,74
North,Admiralty,17-01-2020,0.0,27.8,32.4,24.8,20
North,Admiralty,17-01-2020,0.0,27.8,32.4,24.8,16
North,Admiralty,17-01-2020,0.0,27.8,32.4,24.8,8
North,Admiralty,17-01-2020,0.0,27.8,32.4,24.8,2
North,Admiralty,24-01-2020,0.0,27.6,31.3,25,80
North,Admiralty,24-01-2020,0.0,27.6,31.3,25,27
North,Admiralty,24-01-2020,0.0,27.6,31.3,25,21
North,Admiralty,24-01-2020,0.0,27.6,31.3,25,13
North,Admiralty,24-01-2020,0.0,27.6,31.3,25,4
North,Admiralty,24-01-2020,0.0,27.6,31.3,25,3
North,Admiralty,24-01-2020,0.0,27.6,31.3,25,2
North,Admiralty,31-01-2020,0.0,27.9,31.9,25.7,31
North,Admiralty,31-01-2020,0.0,27.9,31.9,25.7,16
North,Admiralty,31-01-2020,0.0,27.9,31.9,25.7,4
North,Admiralty,31-01-2020,0.0,27.9,31.9,25.7,3
North,Admiralty,31-01-2020,0.0,27.9,31.9,25.7,2
North,Admiralty,07-02-2020,0.0,27.5,31.1,25.1,35
North,Admiralty,07-02-2020,0.0,27.5,31.1,25.1,33
North,Admiralty,07-02-2020,0.0,27.5,31.1,25.1,21
North,Admiralty,07-02-2020,0.0,27.5,31.1,25.1,6
