Epidemiology Wk,Start,End,Disease,Cases
1,1/1/2017,7/1/2017,Cholera,0
2,8/1/2017,14/1/2017,Cholera,0
3,15/1/2017,21/1/2017,Cholera,0
4,22/1/2017,28/1/2017,Cholera,0
5,29/1/2017,4/2/2017,Cholera,0
6,5/2/2017,11/2/2017,Cholera,0
7,12/2/2017,18/2/2017,Cholera,0
8,19/2/2017,25/2/2017,Cholera,0
9,26/2/2017,4/3/2017,Cholera,0
10,5/3/2017,11/3/2017,Cholera,0
11,12/3/2017,18/3/2017,Cholera,0
12,19/3/2017,25/3/2017,Cholera,0
13,26/3/2017,1/4/2017,Cholera,0
14,2/4/2017,8/4/2017,Cholera,0
15,9/4/2017,15/4/2017,Cholera,0
16,16/4/2017,22/4/2017,Cholera,0
17,23/4/2017,29/4/2017,Cholera,0
18,30/4/2017,6/5/2017,Cholera,0
19,7/5/2017,13/5/2017,Cholera,0
20,14/5/2017,20/5/2017,Cholera,0
21,21/5/2017,27/5/2017,Cholera,0
22,28/5/2017,3/6/2017,Cholera,1
23,4/6/2017,10/6/2017,Cholera,0
24,11/6/2017,17/6/2017,Cholera,0
25,18/6/2017,24/6/2017,Cholera,0
26,25/6/2017,1/7/2017,Cholera,0
27,2/7/2017,8/7/2017,Cholera,0
28,9/7/2017,15/7/2017,Cholera,0
29,16/7/2017,22/7/2017,Cholera,0
30,23/7/2017,29/7/2017,Cholera,0
31,30/7/2017,5/8/2017,Cholera,0
32,6/8/2017,12/8/2017,Cholera,0
33,13/8/2017,19/8/2017,Cholera,0
34,20/8/2017,26/8/2017,Cholera,0
35,27/8/2017,2/9/2017,Cholera,0
36,3/9/2017,9/9/2017,Cholera,0
37,10/9/2017,16/9/2017,Cholera,0
38,17/9/2017,23/9/2017,Cholera,0
39,24/9/2017,30/9/2017,Cholera,0
40,1/10/2017,7/10/2017,Cholera,0
41,8/10/2017,14/10/2017,Cholera,0
42,15/10/2017,21/10/2017,Cholera,1
43,22/10/2017,28/10/2017,Cholera,1
44,29/10/2017,4/11/2017,Cholera,0
45,5/11/2017,11/11/2017,Cholera,0
46,12/11/2017,18/11/2017,Cholera,0
47,19/11/2017,25/11/2017,Cholera,0
48,26/11/2017,2/12/2017,Cholera,0
