Category: All categories

Week,dengue: (Singapore)
2020-06-28,76
2020-07-05,66
2020-07-12,78
2020-07-19,100
2020-07-26,79
2020-08-02,80
2020-08-09,67
2020-08-16,60
2020-08-23,52
2020-08-30,45
2020-09-06,36
2020-09-13,34
2020-09-20,35
2020-09-27,29
2020-10-04,25
2020-10-11,27
2020-10-18,24
2020-10-25,25
2020-11-01,16
2020-11-08,17
2020-11-15,19
2020-11-22,17
2020-11-29,18
2020-12-06,13
2020-12-13,14
2020-12-20,11
2020-12-27,9
2021-01-03,11
2021-01-10,11
2021-01-17,11
2021-01-24,12
2021-01-31,9
2021-02-07,10
2021-02-14,9
2021-02-21,11
2021-02-28,11
2021-03-07,12
2021-03-14,9
2021-03-21,11
2021-03-28,10
2021-04-04,8
2021-04-11,11
2021-04-18,10
2021-04-25,12
2021-05-02,10
2021-05-09,10
2021-05-16,10
2021-05-23,11
2021-05-30,14
2021-06-06,11
2021-06-13,10
2021-06-20,11
2021-06-27,11
2021-07-04,11
2021-07-11,13
2021-07-18,13
2021-07-25,8
2021-08-01,11
2021-08-08,9
2021-08-15,8
2021-08-22,8
2021-08-29,9
2021-09-05,11
2021-09-12,12
2021-09-19,10
2021-09-26,11
2021-10-03,12
2021-10-10,9
2021-10-17,10
2021-10-24,10
2021-10-31,8
2021-11-07,8
2021-11-14,6
2021-11-21,8
2021-11-28,7
2021-12-05,6
2021-12-12,6
2021-12-19,6
2021-12-26,5
2022-01-02,7
2022-01-09,8
2022-01-16,11
2022-01-23,11
2022-01-30,8
2022-02-06,12
2022-02-13,11
2022-02-20,10
2022-02-27,13
2022-03-06,15
2022-03-13,17
2022-03-20,17
2022-03-27,23
2022-04-03,19
2022-04-10,31
2022-04-17,38
2022-04-24,50
2022-05-01,39
2022-05-08,46
2022-05-15,68
2022-05-22,56
2022-05-29,62
2022-06-05,58
2022-06-12,58
2022-06-19,57
2022-06-26,59
2022-07-03,55
2022-07-10,50
2022-07-17,46
2022-07-24,44
2022-07-31,44
2022-08-07,37
2022-08-14,37
2022-08-21,31
2022-08-28,33
2022-09-04,30
2022-09-11,29
2022-09-18,26
2022-09-25,26
2022-10-02,22
2022-10-09,27
2022-10-16,24
2022-10-23,24
2022-10-30,21
2022-11-06,18
2022-11-13,17
2022-11-20,16
2022-11-27,14
2022-12-04,17
2022-12-11,18
2022-12-18,18
2022-12-25,16
2023-01-01,18
2023-01-08,16
2023-01-15,19
2023-01-22,15
2023-01-29,15
2023-02-05,15
2023-02-12,16
2023-02-19,13
2023-02-26,11
2023-03-05,12
2023-03-12,14
2023-03-19,15
2023-03-26,17
2023-04-02,14
2023-04-09,16
2023-04-16,14
2023-04-23,14
2023-04-30,14
2023-05-07,15
2023-05-14,14
2023-05-21,13
2023-05-28,12
2023-06-04,14
2023-06-11,16
2023-06-18,18
2023-06-25,22
2023-07-02,20
2023-07-09,18
2023-07-16,16
2023-07-23,20
2023-07-30,16
2023-08-06,17
2023-08-13,16
2023-08-20,16
2023-08-27,16
2023-09-03,24
2023-09-10,22
2023-09-17,19
2023-09-24,21
2023-10-01,23
2023-10-08,19
2023-10-15,15
2023-10-22,18
2023-10-29,11
2023-11-05,14
2023-11-12,12
2023-11-19,15
2023-11-26,12
2023-12-03,14
2023-12-10,13
2023-12-17,15
2023-12-24,14
2023-12-31,15
2024-01-07,17
2024-01-14,20
2024-01-21,26
2024-01-28,24
2024-02-04,23
2024-02-11,22
2024-02-18,26
2024-02-25,22
2024-03-03,18
2024-03-10,16
2024-03-17,19
2024-03-24,20
2024-03-31,30
2024-04-07,23
2024-04-14,21
2024-04-21,30
2024-04-28,18
2024-05-05,19
2024-05-12,19
2024-05-19,19
2024-05-26,20
2024-06-02,19
2024-06-09,20
2024-06-16,19
2024-06-23,20
2024-06-30,17
2024-07-07,20
2024-07-14,17
2024-07-21,22
2024-07-28,18
